StatisticCrimeGroupCode,StatisticCrimeGroupName,StatisticCrimeTypeCode,StatisticCrimeTypeName,CrimeName,SensitivityFlag
100, עבירות בטחון,100, עבירות בטחון,מסירת מידע לשם פגיעה בבטחון,
100, עבירות בטחון,100, עבירות בטחון,החזקת ואיסוף מידע סודי,
100, עבירות בטחון,100, עבירות בטחון,מגע עם אויב או מי מטעמו,
100, עבירות בטחון,100, עבירות בטחון,פרסום ידיעה בעלת ערך צבאי,
100, עבירות בטחון,100, עבירות בטחון,השגת ידיעה בעלת ערך צבאי,
100, עבירות בטחון,100, עבירות בטחון,הפרעה לחייל צה'ל במילוי תפקידו,
100, עבירות בטחון,100, עבירות בטחון,הפרעה לעובד בטחון במילוי תפקידו,
100, עבירות בטחון,100, עבירות בטחון,שיווק ביטחוני ללא/בניגוד לרישיון,
100, עבירות בטחון,100, עבירות בטחון,יצוא ביטחוני ללא/בניגוד לרישיון,
100, עבירות בטחון,100, עבירות בטחון,יצוא ציוד ביטחוני במעבר ללא לרישיון,
100, עבירות בטחון,100, עבירות בטחון,העברת ציוד דו שימושי מפוקח לרש'פ,
100, עבירות בטחון,100, עבירות בטחון,שיווק ביטחוני בנסיבות מחמירות,
100, עבירות בטחון,100, עבירות בטחון,יצוא ציוד/ידע/שירות בטחוני מסווג,
100, עבירות בטחון,100, עבירות בטחון,יצוא לגורם חוץ בניגוד להחלטת מועה'ב,
100, עבירות בטחון,100, עבירות בטחון,תיווך בין גורמי חוץ בנסיבות מחמירות,
100, עבירות בטחון,100, עבירות בטחון,ביצוע מעשה הפוגע בכשירות חייל,
100, עבירות בטחון,101, בגידה ורגול,פגיעה בריבונות המדינה,1
100, עבירות בטחון,101, בגידה ורגול,פגיעה בשלמות המדינה,1
100, עבירות בטחון,101, בגידה ורגול,כוונה לפגוע בריבונות המדינה,1
100, עבירות בטחון,101, בגידה ורגול,כוונה לפגוע בשלמות המדינה,1
100, עבירות בטחון,101, בגידה ורגול,גרימת פעולה צבאית נגד ישראל,1
100, עבירות בטחון,101, בגידה ורגול,סיוע לאויב במלחמה,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה לאויב ע'מ לפגוע במדינה,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה לאויב,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה בכוונה לפגוע במדינה,1
100, עבירות בטחון,101, בגידה ורגול,השגת והחזקת ידיעות ע'מ לפגוע במדינה,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה סודית,1
100, עבירות בטחון,101, בגידה ורגול,מגע עם סוכן זר,1
100, עבירות בטחון,101, בגידה ורגול,נסיון ליצור מגע עם סוכן זר,1
100, עבירות בטחון,101, בגידה ורגול,השגת ידיעות צבאיות,1
100, עבירות בטחון,101, בגידה ורגול,רשום ידיעות בעלות ערך צבאי,1
100, עבירות בטחון,101, בגידה ורגול,החזקת ידיעות בעלות ערך צבאי,1
100, עבירות בטחון,101, בגידה ורגול,מסירת מקום לאויב או נטישתו,1
100, עבירות בטחון,101, בגידה ורגול,סיוע לאויב ביודעין,1
100, עבירות בטחון,101, בגידה ורגול,סיוע לאויב בתקופת שבי,1
100, עבירות בטחון,101, בגידה ורגול,עזרה לאויב בכוונה,1
100, עבירות בטחון,101, בגידה ורגול,עזרה לאויב ביודעין,1
100, עבירות בטחון,101, בגידה ורגול,נטישת מקום באופן מחפיר,1
100, עבירות בטחון,101, בגידה ורגול,מגע עם סוכן אויב,1
100, עבירות בטחון,101, בגידה ורגול,פגיעה בריבונות המדינה או בשלימותה,1
100, עבירות בטחון,101, בגידה ורגול,פגיעה בריבונות המדינה או בשלימותה,1
100, עבירות בטחון,101, בגידה ורגול,סיוע לאויב במלחמה,1
100, עבירות בטחון,101, בגידה ורגול,גלוי החלטה לבגוד,1
100, עבירות בטחון,101, בגידה ורגול,שרות בכוחות האויב,1
100, עבירות בטחון,101, בגידה ורגול,תעמולה תבוסנית,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה לתועלת האויב,
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה לאויב,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה ע'מ לפגוע במדינה,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה לאויב ברשלנות,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה למטרות ריגול,1
100, עבירות בטחון,101, בגידה ורגול,איסוף ידיעות למטרות ריגול,1
100, עבירות בטחון,101, בגידה ורגול,איסוף ידיעות סודיות והחזקתם,1
100, עבירות בטחון,101, בגידה ורגול,איסוף סודות במטרה לפגוע במדינה,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה סודית כדי לפגוע במדינה,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה סודית,1
100, עבירות בטחון,101, בגידה ורגול,מגע עם סוכן חוץ,1
100, עבירות בטחון,101, בגידה ורגול,נסיון ליצור מגע עם סוכן,1
100, עבירות בטחון,101, בגידה ורגול,השגת מידע ביטחוני 54א(2) לצו 378 מהוראות הביטחון 1,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה בכוונה לפגוע בבטחון האז,1
100, עבירות בטחון,101, בגידה ורגול,החזקת ידיעה בכוונה לפגוע בבטחון האז,1
100, עבירות בטחון,101, בגידה ורגול,החזקת ידיעה סודית,1
100, עבירות בטחון,101, בגידה ורגול,מסירת ידיעה סודית לפגיעה בבטחון האז,1
100, עבירות בטחון,102, מרד והסתה למרד,מרידה בזמן לחימה או תוך כדי שימוש בנשק או איום בו,1
100, עבירות בטחון,102, מרד והסתה למרד,הסתה למרי,1
100, עבירות בטחון,102, מרד והסתה למרד,מרידה בכוונה לפגוע במדינה,1
100, עבירות בטחון,102, מרד והסתה למרד,הסתה לאי ציות,1
100, עבירות בטחון,102, מרד והסתה למרד,הסתה לאי ציות בכוונה לפגוע במדינה,1
100, עבירות בטחון,102, מרד והסתה למרד,מעשה המרדה,1
100, עבירות בטחון,102, מרד והסתה למרד,הסתה למרד ע'י פרסומים,1
100, עבירות בטחון,102, מרד והסתה למרד,ייבוא פרסומי הסתה למרד,1
100, עבירות בטחון,102, מרד והסתה למרד,החזקת פרסומי מרד,1
100, עבירות בטחון,102, מרד והסתה למרד,פרסום הסתה לגזענות,1
100, עבירות בטחון,102, מרד והסתה למרד,עבירות ממניע גזענות או עויינות כלפי ציבור,1
100, עבירות בטחון,102, מרד והסתה למרד,עבירות ממניע גזענות או עויינות כלפי ציבור,1
100, עבירות בטחון,102, מרד והסתה למרד,החזקת פרסום גזעני,1
100, עבירות בטחון,103, עבירות על חוקי חרום,פגיעה ברכוש הפוגעת בבטחון המדינה,1
100, עבירות בטחון,103, עבירות על חוקי חרום,פגיעה ברכוש בזמן פעולות איבה,
100, עבירות בטחון,103, עבירות על חוקי חרום,הפרת תנאי רשיון,
100, עבירות בטחון,103, עבירות על חוקי חרום,אי הצגת רשיון,
100, עבירות בטחון,103, עבירות על חוקי חרום,המצאות בשטח ממשלתי ללא היתר,
100, עבירות בטחון,103, עבירות על חוקי חרום,חברות בקבוצה המבצעת עבירות נגד סד'צ,
100, עבירות בטחון,103, עבירות על חוקי חרום,מתן מקלט,
100, עבירות בטחון,103, עבירות על חוקי חרום,החזקת רכוש של התאחדות בלתי מותרת,
100, עבירות בטחון,103, עבירות על חוקי חרום,"הממליץ, מסית או מעודד בהתאחדיות בלתי מותרת",1
100, עבירות בטחון,103, עבירות על חוקי חרום,חברות בהתאגדות בלתי חוקית,1
100, עבירות בטחון,103, עבירות על חוקי חרום,חברות בהתאגדות בלתי מותרת,1
100, עבירות בטחון,103, עבירות על חוקי חרום,החזקת משרה בהתאגדות בלתי חוקית,1
100, עבירות בטחון,103, עבירות על חוקי חרום,החזקת משרה בהתאחדות בלתי מותרת,1
100, עבירות בטחון,103, עבירות על חוקי חרום,מתן שירות להתאגדות בלתי חוקית,1
100, עבירות בטחון,103, עבירות על חוקי חרום,מתן שירות להתאחדות בלתי מותרת,1
100, עבירות בטחון,103, עבירות על חוקי חרום,השתתפות באסיפה,
100, עבירות בטחון,103, עבירות על חוקי חרום,נוכחות באסיפה של התאחדות בלתי מותרת,
100, עבירות בטחון,103, עבירות על חוקי חרום,מתיר קיום אסיפה בביתו/נכס שייך לו,
100, עבירות בטחון,103, עבירות על חוקי חרום,החזקת חומר אסור,1
100, עבירות בטחון,103, עבירות על חוקי חרום,"נמצא בחזקתו, במשמרו או בשליטתו ספר, חשבון, כתב עת,",
100, עבירות בטחון,103, עבירות על חוקי חרום,הכנת חומר אסור והפצתו,1
100, עבירות בטחון,103, עבירות על חוקי חרום,"כותב, מכין או מייצר, מדפיס, מעתיק, מפרסם, מציג, מו",1
100, עבירות בטחון,103, עבירות על חוקי חרום,קבלת תרומה עבור התאגדות בלתי חוקית,
100, עבירות בטחון,103, עבירות על חוקי חרום,קבלת תרומה עבור התאגדות בלתי חוקית,
100, עבירות בטחון,103, עבירות על חוקי חרום,פעולה מטעם התאגדות בלתי חוקית,1
100, עבירות בטחון,103, עבירות על חוקי חרום,פעולה מטעם התאגדות בלתי חוקית,1
100, עבירות בטחון,103, עבירות על חוקי חרום,החזקה או משלוח של פרסום אחר,1
100, עבירות בטחון,103, עבירות על חוקי חרום,הפרת הוראה/צו/דרישה מכח תקנה זו,
100, עבירות בטחון,103, עבירות על חוקי חרום,הסרת מחסומים מהדרך,
100, עבירות בטחון,103, עבירות על חוקי חרום,הפרת עוצר או צו הגבלה,
